,id_stable,label_sent,y_sent,label_stance,y_stance
826,45717,angry,0,disagree,0
142,18646,neutral,1,na,1
232,102329,neutral,1,neutral,1
574,144849,fear,0,agree,2
1198,139502,neutral,1,disagree,0
763,136832,disgust,0,disagree,0
1179,127061,hopeful,2,agree,2
527,153370,disgust,0,disagree,0
378,4535,neutral,1,neutral,1
596,97130,neutral,1,neutral,1
1152,123726,neutral,1,agree,2
1001,108973,happy,2,neutral,1
867,184860,neutral,1,neutral,1
1036,92930,neutral,1,neutral,1
196,85518,hopeful,2,agree,2
70,96067,neutral,1,neutral,1
597,126658,neutral,1,neutral,1
447,186823,plea - disgust,0,agree,2
547,193617,neutral,1,na,1
1132,196054,disgust,0,na,1
1100,196779,hopeful,2,agree,2
1029,17667,neutral,1,neutral,1
630,106628,fear,0,disagree,0
157,80346,disgust,0,neutral,1
96,112197,happy,2,disagree,0
296,157856,plea - sad,0,agree,2
1055,100208,disgust,0,neutral,1
612,170241,angry,0,disagree,0
984,195927,neutral,1,neutral,1
264,18154,plea - fear,0,agree,2
579,176872,happy,2,na,1
333,131982,disgust,0,disagree,0
808,74077,angry,0,neutral,1
1159,111372,neutral,1,neutral,1
228,165259,plea - fear,0,agree,2
978,45080,plea - hopeful,2,agree,2
624,161225,hopeful,2,neutral,1
993,145703,na,1,na,1
1206,117334,neutral,1,neutral,1
98,141868,neutral,1,neutral,1
747,29634,happy,2,na,1
255,174235,happy,2,agree,2
1002,81706,happy,2,agree,2
79,104884,disgust,0,agree,2
1024,82765,disgust,0,agree,2
22,25826,disgust,0,neutral,1
492,84425,plea - disgust,0,agree,2
327,149596,disgust,0,neutral,1
65,177190,plea - disgust,0,refugee,3
647,136394,happy,2,agree,2
366,178347,hopeful,2,agree,2
960,51837,disgust,0,neutral,1
465,99797,disgust,0,neutral,1
503,139204,happy,2,neutral,1
159,88781,disgust,0,neutral,1
89,7858,disgust,0,neutral,1
562,154983,happy,2,neutral,1
361,115381,neutral,1,neutral,1
403,113724,happy,2,agree,2
864,118976,plea - neutral,1,agree,2
914,15920,disgust,0,agree,2
1031,53364,disgust,0,neutral,1
1080,86466,happy,2,agree,2
666,57102,happy,2,agree,2
367,168195,plea - neutral,1,agree,2
604,201328,neutral,1,agree,2
1057,43871,angry,0,disagree,0
