,id_stable,label_sent,y_sent,label_stance,y_stance
1191,5604,disgust,0,neutral,1
52,56086,disgust,0,agree,2
816,39955,disgust,0,neutral,1
481,44695,neutral,1,neutral,1
740,197583,disgust,0,neutral,1
1085,168325,angry,0,agree,2
371,194806,disgust,0,neutral,1
793,195831,fear,0,agree,2
624,161225,hopeful,2,neutral,1
868,92344,plea - hopeful,2,agree,2
1159,111372,neutral,1,neutral,1
554,91732,disgust,0,disagree,0
720,61829,neutral,1,neutral,1
285,162958,plea - disgust,0,agree,2
337,135363,disgust,0,neutral,1
997,56935,plea - hopeful,2,agree,2
1078,23675,disgust,0,neutral,1
1009,79258,plea - disgust,0,neutral,1
827,70968,disgust,0,neutral,1
934,70672,angry,0,na,1
1109,173026,plea - sad,0,refugee,3
1027,196556,disgust,0,na,1
202,153523,plea - fear,0,refugee,3
78,52600,plea - disgust,0,agree,2
628,67586,disgust,0,neutral,1
801,88902,disgust,0,disagree,0
424,188531,disgust,0,neutral,1
1050,95075,disgust,0,neutral,1
873,70937,plea - fear,0,agree,2
1140,73156,neutral,1,neutral,1
58,130138,disgust,0,neutral,1
435,61708,sad,0,agree,2
1104,154667,hopeful,2,neutral,1
316,105818,disgust,0,neutral,1
265,48365,disgust,0,neutral,1
39,67845,neutral,1,neutral,1
941,83396,angry,0,disagree,0
1149,48478,neutral,1,neutral,1
61,188394,neutral,1,neutral,1
728,15441,disgust,0,disagree,0
175,119930,disgust,0,agree,2
1108,142097,plea - disgust,0,agree,2
772,63713,disgust,0,disagree,0
60,198715,disgust,0,refugee,3
77,153478,happy,2,agree,2
544,111565,disgust,0,agree,2
648,183300,happy,2,agree,2
539,112304,angry,0,disagree,0
239,96594,happy,2,agree,2
998,87106,disgust,0,neutral,1
808,74077,angry,0,neutral,1
759,106529,plea - hopeful,2,refugee,3
795,116971,disgust,0,agree,2
267,172531,disgust,0,neutral,1
1014,128453,disgust,0,agree,2
450,50394,plea - neutral,1,neutral,1
1195,95865,hopeful,2,agree,2
846,175854,plea - disgust,0,agree,2
190,78781,neutral,1,neutral,1
464,185048,disgust,0,neutral,1
960,51837,disgust,0,neutral,1
173,150539,plea - neutral,1,agree,2
903,121083,happy,2,agree,2
764,193200,happy,2,agree,2
21,53388,disgust,0,disagree,0
824,82723,neutral,1,neutral,1
1033,102062,plea - fear,0,agree,2
138,37838,disgust,0,neutral,1
1187,36110,neutral,1,neutral,1
1022,7441,plea - disgust,0,disagree,0
603,190795,neutral,1,neutral,1
897,77753,angry,0,agree,2
111,63535,neutral,1,neutral,1
860,124439,angry,0,agree,2
1115,60969,angry,0,disagree,0
893,125830,disgust,0,disagree,0
465,99797,disgust,0,neutral,1
564,145219,neutral,1,neutral,1
957,103367,angry,0,agree,2
1137,100923,disgust,0,neutral,1
483,49871,angry,0,disagree,0
314,1283,plea - fear,0,refugee,3
1169,107466,plea - fear,0,agree,2
781,199489,disgust,0,agree,2
458,72388,disgust,0,neutral,1
908,104449,disgust,0,disagree,0
442,97472,fear,0,neutral,1
5,192543,fear,0,neutral,1
612,170241,angry,0,disagree,0
237,42209,angry,0,agree,2
181,84635,disgust,0,neutral,1
565,9270,disgust,0,neutral,1
280,126183,disgust,0,agree,2
72,146395,disgust,0,neutral,1
631,168059,fear,0,agree,2
869,158271,angry,0,neutral,1
341,42883,neutral,1,neutral,1
404,79189,happy,2,agree,2
633,2843,fear,0,agree,2
452,173761,plea - neutral,1,agree,2
364,138282,fear,0,disagree,0
721,109001,disgust,0,neutral,1
282,119421,disgust,0,agree,2
354,144252,disgust,0,neutral,1
1127,87556,disgust,0,neutral,1
23,42353,disgust,0,neutral,1
93,494,plea - disgust,0,agree,2
436,112175,neutral,1,neutral,1
1125,46486,plea - neutral,1,agree,2
297,46187,neutral,1,na,1
1124,175611,disgust,0,agree,2
66,163740,plea - disgust,0,agree,2
766,93015,angry,0,disagree,0
