,id_stable,Date,ContentClean
1191,5604,2022-03-30 21:49:53+00:00,"At the moment, that would be Mexican, Colombian, Venezuelan, Afghan, Russian, and Ukraine seeking relocation. should be the last place they will call because who wants to pay taxes to a state that hated their presence from the get-go?"
52,56086,2021-10-11 06:48:52+00:00,Where went the promise of Afghan citizens resettlement scheme where girls were supposed to bring to safety.
816,39955,2021-11-26 22:09:37+00:00,What explanation does the government have for not having sorted out the Afghan resettlement plan?
481,44695,2021-11-12 12:37:18+00:00,"Iran Iran has provided shelter to 951,000 Afghans and 28,300 Iraqis. This country is the 4th largest refugee host. However, the refugee population in Iran did not change during the first six months of 2015 and has remained number 4 since the previous year."
740,197583,2021-02-18 21:55:35+00:00,"Early 2016, a lefty grand-aunt of mine asked me to help out a ""syrian refugee"" by hiring him to help me in the garden, which i did because i was a huge shitlib back then. He had no problem admiting he was from afghanistan and that a local lawyer was helping him stay by teaching1/"
1085,168325,2021-08-16 01:55:19+00:00,What an ignorant piece of shit scumbag....sorry for the language. Him & his family just make my blood boil. What's going on in Afghanistan is horrendous & I hope every refugee gets the help they need to escape.
371,194806,2021-04-28 19:29:45+00:00,"خشونت علیه زنان، ممنوع! Two Afghan immigrant women ask a Swedish journalist to photograph their bodies from undercover history to show what it means when violence against women speaks out. The deformed bodies of these two women, continued in comment backhand_index_pointing_down_e backhand_index_pointing_down_e "
793,195831,2021-04-14 15:59:16+00:00,"Sometimes the best we can do is the least we can do. We owe protection to the interpreters and translators, schoolteachers and bureaucrats, women and children whose lives are at risk because they threw their lot in with us on the promise of a better society. #Afghanistan"
624,161225,2021-08-16 21:12:50+00:00,"But we CANNOT let that happen again! So don’t despair!! We have them (Republicans) on the ropes! Afghanistan is just a talking point to them. Meanwhile they (Republicans) create the “red tape” to admit their entrance into the US/visas, migration/immigration/asylum/3"
868,92344,2021-09-03 06:00:00+00:00,People arriving from Afghanistan will need all kinds of support to help them resettle and begin a new journey of recovery The Haringey Afghan Refugee Crisis Appeal is now open for donations Please give generously
1159,111372,2021-08-26 21:32:18+00:00,"ICYMI: Twenty years ago a group of Afghan asylum seekers fled the Taliban and found a new life in NZ. As they mark the anniversary of the Tampa incident, those same Afghan Kiwis are watching history repeat."
554,91732,2021-09-03 13:51:15+00:00,"Many won't agree with me for saying what many are thinking but wouldn't bcuz don't want to give wrong ""Image"" but I can't help being HONEST!So I say They Aren't Welcome U.S. effort to resettle Afghan refugees faces major hurdles - CBS News via"
720,61829,2021-09-30 10:47:10+00:00,Afghan refugees and asylum seekers in the UK. What are their rights?
285,162958,2021-08-16 18:09:10+00:00,"Of course. The EU European_Union_e has a rather poor track record when it comes to dealing with asylum seekers from Afghanistan. People have talked & written about it, incl. myself ( But perhaps things can change? With a joint #resettlement programme, for example?"
337,135363,2021-08-20 15:37:40+00:00,"Trump stopped the SIV applications for 4 years. Trump released 5,000 terrorists, trump handed Afghanistan over. Trump removed all but 2500 troops. This is on 45."
997,56935,2021-10-09 00:10:30+00:00,Northeast Ohio resettlement agencies asking for donations as they welcome Afghan refugees
1078,23675,2022-01-25 08:10:43+00:00,An Afghan refugee has been convicted of sexually abusing a 3-year-old girl at a US Marine Corps camp in Virginia following the U. S. evacuation from Afghanistan The refugee reportedly told the authorities he had done nothing that would have been off-limits in his culture
1009,79258,2021-09-10 21:01:59+00:00,Then UK send back the Afghan refugee and stop taking the refugees .. 20000 .. which pm promise..
827,70968,2021-09-18 09:38:26+00:00,The List of those here in need the Afghanistan’s ! the Migrant workers ! the Haitians ! The Thousands evicted from their homes Now WHATS your next plan ? woman_medium_skin_tone_e thinking_face_e 
934,70672,2021-09-18 17:45:32+00:00,"You're talking about Trump who: • Surrendered Afghanistan to the Taliban. • Traded 5,000 terrorists for America's surrender. • Gutted and sabotaged America's military advantage. • Gutted America's ability to vet and evacuate allies. • Made a deal with their terrorist leader."
1109,173026,2021-08-14 21:17:20+00:00,"We are not able to go back to Afghanistan. We were interpreter and Taliban are our enamy. Second .,in India we have no condition of life, Because we were translators, we can't even give CV a job. They hate us translators.I have not paid rent for four months. Why?"
1027,196556,2021-03-23 16:05:49+00:00,"""... the Brooklyn-based Al-Kifah Afghan Refugee Center, “a front for Maktab al-Khidamat, an organization co-founded by Osama bin Laden” was used by the CIA in #OperationCyclone to send young US Muslims to fight in Afghanistan, ..."" #AlQaeda #ISIS #AlAwlaki"
202,153523,2021-08-17 17:55:31+00:00,"Gay Afghans plead asylum, what shall we do?"
78,52600,2021-10-20 16:52:27+00:00,please can someone from your charity accounts team help us? We've been trying to set up an urgent appeal to support out Afghan refugee families and have faced many difficulties and very slow responses. Now our campaign page is missing. Please reply ASAP thnx.
628,67586,2021-09-22 14:35:06+00:00,"One of the biggest admissions yesterday during the hearing was that only 3% of the 60,000+ Afghan refugees the Biden Admin brought here have Special Immigrant Visas. Not the previously thought 10%"
801,88902,2021-09-04 20:04:15+00:00,"Final Comment - Over 31,000 Afghans have entered America since August 31. “By far the majority are not translators and speak a Persian dialect of the language akin to the Taliban. No papers. No passports. No ID.” They are being given accommodation at 7 military bases for now.”"
424,188531,2021-07-04 15:01:31+00:00,#France: #Islamic #Migrant Sentenced to 15 Years for #Rape of Young Boy: Lawyer Pleads it's an #Afghan Custom (Video) via
1050,95075,2021-09-01 22:45:20+00:00,"#45/Trump created a disaster with this war; let Taliban criminals be released from prison, invited them to US; slowed the vetting process for Afghans; no comment on the pres abandoning HIS country and they want McConnell to impeach Biden-idiocracy!"
873,70937,2021-09-18 11:20:11+00:00,Joe Biden Give the Haitian refugees the same dignity and refuge you gave the Afghan refugees. Thousands of Haitian migrants fleeing disaster and unrest seek asylum at Del Rio bridge via
