,id_stable,Date,Content,ContentClean,Labels,n_CapLetters,CapsRatio,AllCapWords,https,Mentions,Location,ReplyCount,RetweetCount,LikeCount,QuoteCount,Hashtags,Flag
0,110833,2021-08-27 00:51:00+00:00,"@ChuckCallesto Dear Callesto,
This's just the beginning !!!

In less than 4 days, the number of HOSTAGES will exceed +/- 6,000 American Citizens, plus +/- 123,000 Special Immigrant Visa Applicants &amp; other AT-RISK Afghans ...

The BEHAVIOR of @SecDef / @thejointstaff is EMBARRASSING  IMMORAL ... https://t.co/kHngY11Zd6","  Dear Callesto,
This's just the beginning !!!

In less than 4 days, the number of HOSTAGES will exceed +/- 6,000 American Citizens, plus +/- 123,000 Special Immigrant Visa Applicants &amp; other AT-RISK Afghans ...

The BEHAVIOR of   /   is EMBARRASSING  IMMORAL ...  ",angry / agree,53,0.1970260223048327,"HOSTAGES, AT-RISK, BEHAVIOR, EMBARRASSING, IMMORAL",https://t.co/kHngY11Zd6,"@ChuckCallesto, @SecDef, @thejointstaff","Palm Beach, FL 33480",5,39,77,2,No hashtags,yes
1,175578,2021-08-13 04:59:24+00:00,"106+ former Australian Embassy contractors and their families in Kabul remain at significant risk. All have been stringently security vetted. Australian Government does nothing to offer any protection or evacuation!
@ScottMorrisonMP @PeterCredlin_PW @PeterDutton_MP @MarisePayne","106+ former Australian Embassy contractors and their families in Kabul remain at significant risk. All have been stringently security vetted. Australian Government does nothing to offer any protection or evacuation!
       ",fear / agree,6,0.0269058295964125,,,"@ScottMorrisonMP, @PeterCredlin_PW, @PeterDutton_MP, @MarisePayne","Brisbane, Australia",2,12,22,0,No hashtags,yes
2,143019,2021-08-19 02:00:30+00:00,"@MetalHe72704014 @winemomjill @TomiLahren ...get to them right now. Kirby says, ""American citizens will not be given priority evacuation over Afghan SIV applicants."" So I'll take my apology now.

""US prepares to house thousands of Afghan refugees on American military installations"" https://t.co/v8GogNwXfe","      ...get to them right now. Kirby says, ""American citizens will not be given priority evacuation over Afghan SIV applicants."" So I'll take my apology now.

""US prepares to house thousands of Afghan refugees on American military installations""  ",disgust / neutral,12,0.0483870967741935,SIV,https://t.co/v8GogNwXfe,"@MetalHe72704014, @winemomjill, @TomiLahren",English-speaking,0,0,0,0,No hashtags,yes
3,26812,2022-01-11 11:57:41+00:00,"UK May Deport Boat Migrant Afghan Who Raped and Murdered Child https://t.co/qi1mn7rbNx via @BreitbartNews 

May Deport? Fucking nuts.","UK May Deport Boat Migrant Afghan Who Raped and Murdered Child   via   

May Deport? Fucking nuts.",angry / neutral,14,0.1428571428571428,UK,https://t.co/qi1mn7rbNx,@BreitbartNews,English-speaking,0,0,0,0,No hashtags,yes
4,94780,2021-09-02 01:07:21+00:00,"“To keep our promises to our Afghan allies, the Biden Administration or Congress must make it easier for Afghans to apply for humanitarian parole.” Great piece by ⁦@JillGoldenziel⁩  https://t.co/TUFSaArUFq","“To keep our promises to our Afghan allies, the Biden Administration or Congress must make it easier for Afghans to apply for humanitarian parole.” Great piece by ⁦    ",plea - neutral / agree,7,0.0416666666666666,,https://t.co/TUFSaArUFq,@JillGoldenziel⁩,"Bloomington, IN",0,2,3,0,No hashtags,yes
5,39459,2021-11-28 07:48:37+00:00,"Wow!  A Los Angeles woman invited an Afghan refugee family over for Thanksgiving. Here's what happened at their first Thanksgiving meal
 https://t.co/c0rBdX3y9R","Wow!  A Los Angeles woman invited an Afghan refugee family over for Thanksgiving. Here's what happened at their first Thanksgiving meal
  ",happy / agree,8,0.0579710144927536,A,https://t.co/c0rBdX3y9R,,Los Angeles,0,0,1,0,No hashtags,yes
6,177479,2021-08-09 10:58:28+00:00,"@hassib_haidar why is Afghan army clicking pictures of terrorist instead of countering them. Afghan Army itself is so dysfunctional they ask refugee in Pakistan when under thread instead of fighting. zero honor, zero capability, just a loathe of corruption","  why is Afghan army clicking pictures of terrorist instead of countering them. Afghan Army itself is so dysfunctional they ask refugee in Pakistan when under thread instead of fighting. zero honor, zero capability, just a loathe of corruption",disgust / neutral,4,0.0164609053497942,,,@hassib_haidar,Pakistan,0,0,0,0,No hashtags,yes
7,184163,2021-07-20 08:30:00+00:00,"Immigrant trafficking &amp; espionage ring exposed, members of a NGO are among the accused. 1 Norwegian, 1 America, 2 Britons &amp; 6 people of Syrian &amp; Afghan origin are being charged

this is not the first time
#BanNGOs
#ΑπαγόρευσητωνΜΚΟ

@stavroforos_
@thedukeoriginal https://t.co/zL1xqJHRl9","Immigrant trafficking &amp; espionage ring exposed, members of a NGO are among the accused. 1 Norwegian, 1 America, 2 Britons &amp; 6 people of Syrian &amp; Afghan origin are being charged

this is not the first time
#BanNGOs
#ΑπαγόρευσητωνΜΚΟ

 
   ",na / na,17,0.068,NGO,https://t.co/zL1xqJHRl9,"@stavroforos_, @thedukeoriginal",Constantinople,0,2,2,0,"['BanNGOs', 'ΑπαγόρευσητωνΜΚΟ']",yes
8,78209,2021-09-12 03:11:30+00:00,"""Afghans eligible and referred to the U.S. Refugee Admissions Program (USRAP) must be outside of Afghanistan in a third country for their cases to be processed.""","""Afghans eligible and referred to the U.S. Refugee Admissions Program (USRAP) must be outside of Afghanistan in a third country for their cases to be processed.""",neutral / neutral,12,0.0745341614906832,"U.S., (USRAP)",,,USA,1,0,1,0,No hashtags,yes
9,61604,2021-09-30 16:16:39+00:00,"2. 
1st and 4th amendments are proposed  by @SenTomCotton to betray our Afghan refugee allies.

The 2nd is currently being voted on. It was offered by KS newbie @RogerMarshallMD to block vaccine mandates so this alleged physician keep the pandemic raging and kill more Americans.","2. 
1st and 4th amendments are proposed  by   to betray our Afghan refugee allies.

The 2nd is currently being voted on. It was offered by KS newbie   to block vaccine mandates so this alleged physician keep the pandemic raging and kill more Americans.",disgust / agree ,6,0.0238095238095238,KS,,"@SenTomCotton, @RogerMarshallMD","Hawaii, USA",1,12,24,2,No hashtags,yes
