,id_stable,ContentClean,y_sent
0,170314,"Per a White House official: Biden and Harris met with their national security team by videoconference this morning for updates on the security situation in Kabul, and on evacuations from the country, including for SIV applicants and other Afghan allies",1
1,192623,Afghan Refugee kid educated in Iran wins this year's Mathematics Olympiad for Iranian students,2
2,106982,"Not only did Trump stop processing asylum & refugee applications at the southern border, he also halted processing S1V visas for our Afghani allies! Never told Americans to get out of Afghanistan before May 1st, the date Trump planned for full drawdown!",0
3,31609,An Afghan refugee demands the US not forget her family: “It’s not over and they have to fix what they did”,0
4,152666,"One moment you hate refugees and the next you beg for them. Or is it that you don't like Latino? Frustrated with Biden, evangelical leaders are tightening the screws, calling resettlement of Afghan refugees a 'moral urgency'",2
5,192543,"Like thousands of Afghan translators who served with NATO forces, Nazir Ahmad fears for his life as the US-led alliance scrambles to pull out of the country in the coming weeks. #NATO #Afghanistan",0
6,22174,"On February 3, we will discuss the powerful project that Art 4 Humanity has been supporting in Greece since 2020. How #photography has been life-changing for the young #women living in the #refugee camp of Diavata? Join us: #Afghanistan",2
7,44741,Afghan Interpreters of US ARMY last year Heros today leftbehind/victims even with open SIV cases and chief of approval on hand #SIVareStillLeftBehind .,0
8,1664,Just one of the many questions that you didn’t answer. There is no legal way for Afghans to apply for asylum over here. Yes we took 15000 when we evacuated Kabul but none since then. Their only way here is across the channel People we asked to help us fight the Taliban Abandoned,0
9,22119,"NEW from ""At least 36,433 Afghan evacuees who were or are set to be resettled in the U.S. lack a direct pathway to secure permanent legal residency, according to a government report shared with Congress""",1
10,132517,Kent Refugee Action Network need your help to continue their great work supporting young refugees. Many young Afghan refugees are now terrified of being sent back into the hands of Taliban.,0
11,83219,"Biden Asks Congress For $6.4 Billion in Taxpayer Money to Resettle 95,000 Unvetted Afghans MEANWHILE ALL TAX PAYERS HAVE LOST THEIR LIVELIHOODS BECAUSE A SHUTDOWN ALLOWED HIM TO STEAL AN ELECTION",0
12,36018,"According to the Henley Passport Index, the Afghan passport is the worst passport to hold You can't do much with it except apply for asylum or travel to other failed states",0
13,189959,Please don't leave those people: translators etc. behind in Afghanistan. Is there nothing sacred in helping our troops leave!,0
14,77707,BEYOND VENUE: Israeli stadium superfan says Afghan migrant want more EU 'Bienvenue' #DraftKings #EUMasters,1
15,82738,"Fifty Afghan families escaped from Kunduz and reached Quetta, Pakistan A day later, the government of Pakistan's Balochistan Province deported the Afghan refugee's back to Afghanistan DC Quetta is of the view that these Refugees came illegally Humanity is dying here #Afghanistan",0
16,171315,You’d think that what #Afghanistan & #Belarus have shown us is: 1) pushing asylum seekers back at EU borders & deporting them has no deterrent effect; 2) neighbouring strongmen can blackmail us using migration Turns out thinking in Brussels is still: “Let’s do more of 1 & 2”,0
17,164959,"Unlikely, the way they have treated The Gurkhas and Afghan translators doesn't fill me with hope.",0
18,155610,"According to the poll you set up, but deleted because it wasn’t going the way you wanted, the majority of Britain’s people are already supportive of welcoming Afghan asylum seekers.",0
19,73141,"CDC says US should pause all Afghan refugee flights to the US because of Measles. Secretary of State says we already brought in 60,000 with at least 35,000 on the way. .pdf in link.",0
20,197408,He has played a high stakes gambling game against the most powerful intelligence agencies in the world and while I get what you are saying about asylum BUT in gamming terms he may have left his run too late because most of the world has forgotten Iraq and Afghanistan,1
21,53388,No country for asylum seekers! #Afghanistan,0
22,25826,UK 'may' deport boat migrant Afghan who raped and murdered child May? #bbcnews #skynews #ITVNews #c4news #BBCaq #GBNews #bbcbreakfast,0
23,42353,Tell that to the female Afghan refugee that wants to get an abortion in Texas after she was raped,0
24,89480,"It was great to see Afghan interpreters, who worked with 🇱🇹 troops in #Afghanistan, safe & well. They are temporarily accommodated in Raseiniai until all asylum procedures are completed. Next week, they will get temporary documents allowing them to move within #Lithuania.",2
25,43686,The international community must continue its humanitarian protection to the Hazara population in Afghanistan and to the Hazara asylum seekers. Hazaras are facing genocide in Afghanistan. Genocide.,0
26,186248,A thread on the current situation in Afghanistan and what the map tells us about the future of conflict. Interpreting the drumbeats of war and the racket about the looming refugee crisis.,0
27,31524,Afghan translators celebrate first holiday in their safe haven in the UK after their flight from Kabul,2
28,183970,"Why is saying on that Afghanistan interpreters and helpers have been granted Visas here, when the other day an multi medal awarded Returned Australian soldier resigned and burnt his Medals for the very reason we are in fact denying them asylum?",0
29,74101,"""But if it goes wrong, and... we are really worried about, it could go to chaos,..humanitarian crisis,a huge refugee problem, unstable Afghanistan and[...] possibility of terrorism from Afghanistan's soil."" Prime Minister Imran Khan's interview with CNN",0
30,114133,"I would like to think the United States government for doing the right thing for the Afghan peoples. Now doing the resettlement faze, please, please let's throw in another 200,000 of our own homeless peoples we have on our own streets",2
31,63793,So my money I gave to the church will help support 300 Afghan refugee families ain't ah bitch I'mma have to find another church home #ADOS,0
32,122052,🚨 🚨 “A living hell”: Leaked email describes squalid Afghan refugee conditions,0
33,82754,"Did you run it upstream with your base as yet? How many Afghans are Clay, Lafayette, Putnam and Volusia counties willing to accept for resettlement? #OrbaRaisedACowardlyGrifter who won’t hold a townhall unless it’s in TheVillages",0
34,61753,"Rep Green please explain that the US Government gives Afghanistan asylum seekers only $1,200. Welcome cash & a couple hundred a month to feed themselves &lt; via Most the Aid they get comes from International Aid organizations",0
35,64869,"They are but even think about Jan 6th in the US.. it was pretty bad but it and the current Afghan withdrawl, border migrant crisis and Biden not being the President many had hoped for, it hasn't fallen. We are very lucky I think some times Sam when we see the extremities 🙏",2
36,196781,i’m deadass not even white i’m an Afghan refugee living in Sweden. I toke black tar mad heavy too,0
37,79475,Explosives discovered in Afghanistan refugee hold baggage! Nice vetting!,0
38,188813,"Please now turn to help get our former Afghan employees out! My friend taught for the US military for years & so now his life is in grave danger. He has applied for SIV, please help him get relocated here where he will be safe & alive. Help the US do the right thing.",0
39,67845,Turkey asks world to find solution to 'refugee problem' at UNGA amid Afghan crisis,1
40,164093,"""Stand With Afghanistan- A refugee is a human being. People become refugees due to circumstances. They are people away from their home which already makes it hard for them Don't make it any harder."" - Shweta Bhanot",0
41,188372,"#Germany - Man is stabbed to death at German #refugee centre 'by #Afghan man who shouted ""Allahu Akbar"" moments before' via",0
42,115864,"Sleepy Joe said they did ""vetting"" on all of them. Afghanistan doesn't even have a proper govt, so what docs did they check to ""vet"" them",0
43,88853,Major City Mayors Say They Still Don't Know How Afghan Resettlement Scheme Will Work,1
44,181827,"When Americans will help blacklisted interpreters in Afghanistan, because these people worked for years and after years of services they are terminated and their SIV Visas denied After Visas interviews.",0
45,196452,"Hope his administration stops acting like lost dogs. ""omg, we're in 'power' what do we do 1st? Healthcare? Nah! Immigrant kids in jail/camps? We have em 🤷. Peace and stability in the middle east? Nah lets bomb Syria, stay in Afghanistan, & not negotiate with Iran.""",0
46,180313,"The ultimate irony, in the name of human rights and equality. We allow criminals to thrive trafficking people from France whilst refusing Afghan translators asylum via legal routes.",0
47,106339,"Ah yes, the Afghans helping us truly playing the long game. Risk their whole families being murdered for decades just so when the US pulls out they can have a small shot at coming as a refugee to, what, turn around and attack us?",0
48,192348,"Britain Accelerates Relocation of Afghan Interpreters to U.K. - Will America do the same, I fear a Vietnam type bloodbath.",0
49,11709,"False alarm! It’s the non existent special sponsorship scheme being announced, the one that was announced last week. Like the Afghan scheme that was announced 6 mth ago that still hasn’t brought any more to safety. Emperor’s New Clothes Resettlement.",0
